premiseID,capacitykW,installDate,manufacturer,model,azimuth,tilt,rateClass,dateInstalled,premiseRateCode,maxAC,efficiency
92323,92.34,10/25/2017 0:00,Fireside Fronius,Symo 15.0-3 208 (6),180,1.5,E200,10/25/2017,E224,90,96.5
92355,63.6,3/1/2017 0:00,City FC Warehouse Loomis Fronius,Symo 15.0-3 208 (4),180,12,E776,3/1/2017,E776,60,96.5
92438,3.6,12/4/2018 0:00,Enphase,IQ7-60-2-INT,270,17,E100,12/4/2018,E125,,
92557,2.7,11/2/2018 0:00,Enpahse,IQ7-60-2-INT,180,17,E100,11/2/2018,E125,,
92582,6.5,12/21/2017 0:00,SolarEdge,SE5000A-US-ZB-U,100,34,E100,12/21/2017,E130,5.4,97.5
92801,4.2,5/28/2008 0:00,Sunnyboy,4000US,,30,E200,5/28/2008,E200,4,96.5
92874,4.27,10/26/2018 0:00,Delta,Solivia 3.8 TL,180,18,E100,10/26/2018,E125,3.8,97.5
92880,5.28,3/22/2019 0:00,SolarEdge,SE7600H-US,180,23,E100,3/22/2019,E140,8.35,97.5
92923,2.6,3/2/2018 0:00,Delta Solivia,Solivia 3.8 TL,270,18,E100,3/2/2018,E140,3.8,97.5
92925,3.9,11/7/2018 0:00,Enphase,IQ7-60-2-INT,180,25,E100,11/7/2018,E125,,
93006,5.76,3/22/2019 0:00,SolarEdge,SE6000HD-US,225,14,E100,3/22/2019,E140,6,97.5
93012,2.56,1/4/2019 0:00,Delta,Solivia 3.8,180,18,E100,1/4/2019,E140,3.8,97.5
93033,7.71,11/30/2018 0:00,SolarEdge,SE7600H-US,180,23,E100,11/30/2018,E125,8.35,97.5
93045,3.6,12/24/2018 0:00,Enpahse,IQ7-60-2-INT,180,24,E100,12/24/2018,E125,,
93083,9.1,3/2/2018 0:00,Delta,Solivia 7.6 TL,90,37,E100,3/2/2018,E140,7.6,97.5
93084,8.96,3/29/2018 0:00,SolarEdge,SE7600H,90,26,E100,3/29/2018,E140,8.35,97.5
93090,8.78,3/2/2018 0:00,SolarEdge,SE7600A-US,180,37,E100,3/2/2018,E140,8.35,97.5
93094,9.76,3/2/2018 0:00,SolarEdge,SE7600A-US,180,18,E100,3/2/2018,E140,8.35,97.5
93208,6.71,1/31/2019 0:00,SolarEdge,SE7600H-US,270,23,E100,1/31/2019,E140,8.35,97.5
93293,6.41,10/23/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,10/23/2017,E140,5.2,97.5
93294,6.41,11/20/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,11/20/2017,E140,5.2,97.5
93295,6.41,11/9/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,11/9/2017,E140,5.2,97.5
93296,6.41,10/13/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,10/13/2017,E140,5.2,97.5
93297,6.41,11/9/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,11/9/2017,E140,5.2,97.5
93298,6.41,1/18/2018 0:00,Delta,Solivia 5.2 TL,180,20,E100,1/18/2018,E140,5.2,97.5
93299,6.41,10/13/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,10/13/2017,E140,5.2,97.5
93300,6.41,10/5/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,10/5/2017,E140,5.2,97.5
93301,6.41,10/20/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,10/20/2017,E140,5.2,97.5
93302,6.41,1/18/2018 0:00,Delta,Solivia 5.2 TL,180,20,E100,1/18/2018,E140,5.2,97.5
93303,6.41,10/24/2017 0:00,Delta,Solvia 5.2TL,180,20,E100,10/24/2017,E140,5.2,97.5
93304,6.41,11/20/2017 0:00,Delta,Solivia 5.2 TL,180,20,E100,11/20/2017,E140,5.2,97.5
93312,3.9,10/31/2018 0:00,Enphase,IQ7-60-2-INT,132,16,E100,10/31/2018,E125,,
93450,6.9,12/5/2018 0:00,Enphase,IQ7-60-2-INT,210,33,E100,12/5/2018,A125,,
93483,3.91,12/31/2018 0:00,Enpahse,IQ7Plus-72-2-US,212,23,E100,12/31/2018,E140,,
93572,9,12/31/2018 0:00,Enpahse,IQ7-60-2-INT,219,23,E100,12/31/2018,E140,,
93612,2.7,10/25/2018 0:00,Enpahse,IQ7-60-2-INT,233,15,E100,10/25/2018,E125,,
